id,state,monitor_type,type,display_name,website,check_frequency,location_profile_name,timeout,use_ipv6,monitor_groups,http_method,custom_headers_name,custom_headers_value,user_agent,auth_method,up_status_codes,ssl_protocol,matching_keyword,matching_severity,unmatching_keyword,unmatching_severity,match_regex,regex_severity,threshold_profile_name,notification_profile_name,user_group_names,perform_automation,third_party_services,probe_proxy_enabled,tag:sre_name,tag:sre_appteam,tag:sre_part-of,tag:sre_component,tag:sre_tier,tag:sre_environment,tag:sre_group,tag:sre_site
SFS_DEMO_1,0,Website,URL,[Demo] SFS Content,https://securefiles-demo.diligentboards.com/content/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,Internal,Default Notification,IX,FALSE,,FALSE,content,ixprodops,sfs,url,prod,demo,demo,
SFS_DEMO_2,0,Website,URL,[Demo] SFS Admin,https://securefiles-demo.diligentboards.com/admin/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,Internal,Default Notification,IX,FALSE,,FALSE,admin,ixprodops,sfs,url,prod,demo,demo,
SFS_DEMO_3,0,Website,URL,[Demo] SFS Auth,https://securefiles-demo.diligentboards.com/auth/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,Internal,Default Notification,IX,FALSE,,FALSE,auth,ixprodops,sfs,url,prod,demo,demo,
SFS_DEMO_4,0,Website,URL,[Demo] SFS Communication,https://securefiles-demo.diligentboards.com/communication/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,Internal,Default Notification,IX,FALSE,,FALSE,communication,ixprodops,sfs,url,prod,demo,demo,
SFS_DEMO_5,0,Website,URL,[Demo] SFS Support,https://securefiles-demo.diligentboards.com/support/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,,Auto,,0,,,,,Internal,Default Notification,IX,FALSE,,FALSE,support,ixprodops,sfs,url,prod,demo,demo,
SFS_DEMO_6,0,Website,URL,[Demo] SFS Web,https://securefiles-demo.diligentboards.com/web/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,Internal,Default Notification,IX,FALSE,,FALSE,web,ixprodops,sfs,url,prod,demo,demo,
