id,state,monitor_type,type,display_name,website,check_frequency,location_profile_name,timeout,use_ipv6,monitor_groups,http_method,custom_headers_name,custom_headers_value,user_agent,auth_method,up_status_codes,ssl_protocol,matching_keyword,matching_severity,unmatching_keyword,unmatching_severity,match_regex,regex_severity,threshold_profile_name,notification_profile_name,user_group_names,perform_automation,third_party_services,probe_proxy_enabled,tag:sre_name,tag:sre_appteam,tag:sre_part-of,tag:sre_component,tag:sre_tier,tag:sre_environment,tag:sre_group,tag:sre_site
SFS_UAT_1,0,Website,URL,[UAT] SFS Web,https://securefiles-uat.diligentboards.com/web/health,1,US-NonProd-Internal,15,FALSE,"SignalFX1,SFS",G,,,,B,,Auto,OK,0,,,,,Internal,Default Notification,NoAlertEmail,FALSE,,FALSE,web,ixprodops,sfs,url,nonprod,uat,uat04,
SFS_UAT_2,0,Website,URL,[UAT] SFS Admin,https://securefiles-uat.diligentboards.com/admin/health,1,US-NonProd-Internal,15,FALSE,"SignalFX1,SFS",G,,,,B,,Auto,OK,0,,,,,Internal,Default Notification,NoAlertEmail,FALSE,,FALSE,admin,ixprodops,sfs,url,nonprod,uat,uat04,
SFS_UAT_3,0,Website,URL,[UAT] SFS Auth,https://securefiles-uat.diligentboards.com/auth/health,1,US-NonProd-Internal,15,FALSE,"SignalFX1,SFS",G,,,,B,,Auto,OK,0,,,,,Internal,Default Notification,NoAlertEmail,FALSE,,FALSE,auth,ixprodops,sfs,url,nonprod,uat,uat04,
SFS_UAT_4,0,Website,URL,[UAT] SFS Communication,https://securefiles-uat.diligentboards.com/communication/health,1,US-NonProd-Internal,15,FALSE,"SignalFX1,SFS",G,,,,B,,Auto,OK,0,,,,,Internal,Default Notification,NoAlertEmail,FALSE,,FALSE,communication,ixprodops,sfs,url,nonprod,uat,uat04,
SFS_UAT_5,0,Website,URL,[UAT] SFS Support,https://securefiles-uat.diligentboards.com/support/health,1,US-NonProd-Internal,15,FALSE,"SignalFX1,SFS",G,,,,B,,Auto,OK,0,,,,,Internal,Default Notification,NoAlertEmail,FALSE,,FALSE,support,ixprodops,sfs,url,nonprod,uat,uat04,
